"exp_rep","cup","volume","treatment","day","clutch_size","ID","pre_clutch_time","clutch_hold_time","clutch_num"
"W",1,20,"ROW",1,8,"W_1",NA,NA,1
"W",2,20,"ROW",1,5,"W_2",NA,NA,1
"W",3,20,"ROW",1,11,"W_3",NA,NA,1
"W",4,20,"FLW",1,5,"W_4",NA,6,1
"W",5,20,"FLW",1,10,"W_5",NA,5,1
"W",6,20,"FLW",1,8,"W_6",NA,NA,1
"W",7,20,"BSW",1,10,"W_7",NA,1,1
"W",8,20,"BSW",1,10,"W_8",NA,1,1
"W",9,20,"BSW",1,12,"W_9",NA,6,1
"W",10,10,"FLW",1,12,"W_10",NA,NA,1
"W",11,10,"FLW",1,12,"W_11",NA,1,1
"W",12,10,"FLW",1,18,"W_12",NA,NA,1
"W",15,10,"FLW",1,12,"W_15",NA,1,1
"W",20,10,"BSW",1,12,"W_20",NA,1,1
"W",21,10,"BSW",1,12,"W_21",NA,1,1
"W",23,10,"ROW",1,12,"W_23",NA,NA,1
"W",24,10,"ROW",1,20,"W_24",NA,6,1
"W",25,10,"ROW",1,12,"W_25",NA,NA,1
"W",27,10,"ROW",1,14,"W_27",NA,4,1
"F",1,20,"FLW",1,12,"F_1",NA,2,1
"F",2,20,"FLW",1,10,"F_2",NA,1,1
"F",3,20,"FLW",1,12,"F_3",NA,NA,1
"F",4,20,"BSW",1,4,"F_4",NA,4,1
"F",5,20,"BSW",1,8,"F_5",NA,NA,1
"F",6,20,"BSW",1,8,"F_6",NA,NA,1
"F",9,20,"ROW",1,12,"F_9",NA,NA,1
