"exp_rep","cup","volume","treatment","day","alive","ID"
"W",1,20,"ROW","1",1,"W_1"
"W",1,20,"ROW","2",1,"W_1"
"W",1,20,"ROW","3",0,"W_1"
"W",1,20,"ROW","4",0,"W_1"
"W",1,20,"ROW","5",0,"W_1"
"W",1,20,"ROW","6",0,"W_1"
"W",1,20,"ROW","7",0,"W_1"
"W",1,20,"ROW","8",0,"W_1"
"W",1,20,"ROW","9",0,"W_1"
"W",1,20,"ROW","10",0,"W_1"
"W",1,20,"ROW","11",0,"W_1"
"W",1,20,"ROW","12",0,"W_1"
"W",1,20,"ROW","13",NA,"W_1"
"W",1,20,"ROW","14",NA,"W_1"
"W",2,20,"ROW","1",1,"W_2"
"W",2,20,"ROW","2",1,"W_2"
"W",2,20,"ROW","3",1,"W_2"
"W",2,20,"ROW","4",0,"W_2"
"W",2,20,"ROW","5",0,"W_2"
"W",2,20,"ROW","6",0,"W_2"
"W",2,20,"ROW","7",0,"W_2"
"W",2,20,"ROW","8",0,"W_2"
"W",2,20,"ROW","9",0,"W_2"
"W",2,20,"ROW","10",0,"W_2"
"W",2,20,"ROW","11",0,"W_2"
"W",2,20,"ROW","12",0,"W_2"
"W",2,20,"ROW","13",NA,"W_2"
"W",2,20,"ROW","14",NA,"W_2"
"W",3,20,"ROW","1",1,"W_3"
"W",3,20,"ROW","2",1,"W_3"
"W",3,20,"ROW","3",0,"W_3"
"W",3,20,"ROW","4",0,"W_3"
"W",3,20,"ROW","5",0,"W_3"
"W",3,20,"ROW","6",0,"W_3"
"W",3,20,"ROW","7",0,"W_3"
"W",3,20,"ROW","8",0,"W_3"
"W",3,20,"ROW","9",0,"W_3"
"W",3,20,"ROW","10",0,"W_3"
"W",3,20,"ROW","11",0,"W_3"
"W",3,20,"ROW","12",0,"W_3"
"W",3,20,"ROW","13",NA,"W_3"
"W",3,20,"ROW","14",NA,"W_3"
"W",4,20,"FLW","1",1,"W_4"
"W",4,20,"FLW","2",1,"W_4"
"W",4,20,"FLW","3",1,"W_4"
"W",4,20,"FLW","4",1,"W_4"
"W",4,20,"FLW","5",1,"W_4"
"W",4,20,"FLW","6",1,"W_4"
"W",4,20,"FLW","7",1,"W_4"
"W",4,20,"FLW","8",1,"W_4"
"W",4,20,"FLW","9",1,"W_4"
"W",4,20,"FLW","10",1,"W_4"
"W",4,20,"FLW","11",1,"W_4"
"W",4,20,"FLW","12",1,"W_4"
"W",4,20,"FLW","13",NA,"W_4"
"W",4,20,"FLW","14",NA,"W_4"
"W",5,20,"FLW","1",1,"W_5"
"W",5,20,"FLW","2",1,"W_5"
"W",5,20,"FLW","3",1,"W_5"
"W",5,20,"FLW","4",1,"W_5"
"W",5,20,"FLW","5",1,"W_5"
"W",5,20,"FLW","6",1,"W_5"
"W",5,20,"FLW","7",1,"W_5"
"W",5,20,"FLW","8",1,"W_5"
"W",5,20,"FLW","9",1,"W_5"
"W",5,20,"FLW","10",1,"W_5"
"W",5,20,"FLW","11",1,"W_5"
"W",5,20,"FLW","12",1,"W_5"
"W",5,20,"FLW","13",NA,"W_5"
"W",5,20,"FLW","14",NA,"W_5"
"W",6,20,"FLW","1",1,"W_6"
"W",6,20,"FLW","2",1,"W_6"
"W",6,20,"FLW","3",1,"W_6"
"W",6,20,"FLW","4",1,"W_6"
"W",6,20,"FLW","5",1,"W_6"
"W",6,20,"FLW","6",1,"W_6"
"W",6,20,"FLW","7",1,"W_6"
"W",6,20,"FLW","8",1,"W_6"
"W",6,20,"FLW","9",1,"W_6"
"W",6,20,"FLW","10",1,"W_6"
"W",6,20,"FLW","11",1,"W_6"
"W",6,20,"FLW","12",1,"W_6"
"W",6,20,"FLW","13",NA,"W_6"
"W",6,20,"FLW","14",NA,"W_6"
"W",7,20,"BSW","1",1,"W_7"
"W",7,20,"BSW","2",1,"W_7"
"W",7,20,"BSW","3",1,"W_7"
"W",7,20,"BSW","4",1,"W_7"
"W",7,20,"BSW","5",1,"W_7"
"W",7,20,"BSW","6",1,"W_7"
"W",7,20,"BSW","7",1,"W_7"
"W",7,20,"BSW","8",1,"W_7"
"W",7,20,"BSW","9",1,"W_7"
"W",7,20,"BSW","10",1,"W_7"
"W",7,20,"BSW","11",1,"W_7"
"W",7,20,"BSW","12",1,"W_7"
"W",7,20,"BSW","13",NA,"W_7"
"W",7,20,"BSW","14",NA,"W_7"
"W",8,20,"BSW","1",1,"W_8"
"W",8,20,"BSW","2",1,"W_8"
"W",8,20,"BSW","3",1,"W_8"
"W",8,20,"BSW","4",1,"W_8"
"W",8,20,"BSW","5",1,"W_8"
"W",8,20,"BSW","6",1,"W_8"
"W",8,20,"BSW","7",1,"W_8"
"W",8,20,"BSW","8",1,"W_8"
"W",8,20,"BSW","9",1,"W_8"
"W",8,20,"BSW","10",1,"W_8"
"W",8,20,"BSW","11",1,"W_8"
"W",8,20,"BSW","12",1,"W_8"
"W",8,20,"BSW","13",NA,"W_8"
"W",8,20,"BSW","14",NA,"W_8"
"W",9,20,"BSW","1",1,"W_9"
"W",9,20,"BSW","2",1,"W_9"
"W",9,20,"BSW","3",1,"W_9"
"W",9,20,"BSW","4",1,"W_9"
"W",9,20,"BSW","5",1,"W_9"
"W",9,20,"BSW","6",1,"W_9"
"W",9,20,"BSW","7",1,"W_9"
"W",9,20,"BSW","8",1,"W_9"
"W",9,20,"BSW","9",1,"W_9"
"W",9,20,"BSW","10",1,"W_9"
"W",9,20,"BSW","11",1,"W_9"
"W",9,20,"BSW","12",1,"W_9"
"W",9,20,"BSW","13",NA,"W_9"
"W",9,20,"BSW","14",NA,"W_9"
"W",10,10,"FLW","1",1,"W_10"
"W",10,10,"FLW","2",1,"W_10"
"W",10,10,"FLW","3",1,"W_10"
"W",10,10,"FLW","4",1,"W_10"
"W",10,10,"FLW","5",1,"W_10"
"W",10,10,"FLW","6",1,"W_10"
"W",10,10,"FLW","7",1,"W_10"
"W",10,10,"FLW","8",1,"W_10"
"W",10,10,"FLW","9",1,"W_10"
"W",10,10,"FLW","10",1,"W_10"
"W",10,10,"FLW","11",1,"W_10"
"W",10,10,"FLW","12",1,"W_10"
"W",10,10,"FLW","13",NA,"W_10"
"W",10,10,"FLW","14",NA,"W_10"
"W",11,10,"FLW","1",1,"W_11"
"W",11,10,"FLW","2",1,"W_11"
"W",11,10,"FLW","3",1,"W_11"
"W",11,10,"FLW","4",1,"W_11"
"W",11,10,"FLW","5",1,"W_11"
"W",11,10,"FLW","6",1,"W_11"
"W",11,10,"FLW","7",1,"W_11"
"W",11,10,"FLW","8",1,"W_11"
"W",11,10,"FLW","9",1,"W_11"
"W",11,10,"FLW","10",1,"W_11"
"W",11,10,"FLW","11",1,"W_11"
"W",11,10,"FLW","12",1,"W_11"
